,Name,Gender,Parliament,YOB,Parliament_Year,Age@Parliament,Age_buckets
1056,"Proud, George Albert",M,36,1939,1997,58,51-60
1057,"Thibeault, Yolande",F,36,1939,1997,58,51-60
1058,"Abbott, Jim",M,37,1942,2000,58,51-60
1059,"Bonin, Raymond",M,37,1942,2000,58,51-60
1060,"Burton, Andy",M,37,1942,2000,58,51-60
1061,"Cummins, John Martin",M,37,1942,2000,58,51-60
1062,"Gagliano, Alfonso",M,37,1942,2000,58,51-60
1063,"Godfrey, John Ferguson",M,37,1942,2000,58,51-60
1064,"Manning, Ernest Preston",M,37,1942,2000,58,51-60
1065,"Neville, Anita",F,37,1942,2000,58,51-60
1066,"Penson, Charles Frederick (Charlie)",M,37,1942,2000,58,51-60
1067,"Provenzano, Carmen",M,37,1942,2000,58,51-60
1068,"Reynolds, John Douglas",M,37,1942,2000,58,51-60
1069,"Steckle, Paul Daniel",M,37,1942,2000,58,51-60
1070,"Chatters, David Cameron",M,38,1946,2004,58,51-60
1071,"DeVillers, Paul",M,38,1946,2004,58,51-60
1072,"Dosanjh, Ujjal",M,38,1946,2004,58,51-60
1073,"Forseth, Paul Eugene",M,38,1946,2004,58,51-60
1074,"Gouk, James William (Jim)",M,38,1946,2004,58,51-60
1075,"Khan, Wajid",M,38,1946,2004,58,51-60
1076,"MacAulay, Lawrence",M,38,1946,2004,58,51-60
1077,"MacKenzie, Dave",M,38,1946,2004,58,51-60
1078,"Milliken, Peter Andrew Stewart",M,38,1946,2004,58,51-60
1079,"Parrish, Carolyn",F,38,1946,2004,58,51-60
1080,"Proulx, Marcel",M,38,1946,2004,58,51-60
1081,"Telegdi, Andrew",M,38,1946,2004,58,51-60
1082,"Thibault, Louise",F,38,1946,2004,58,51-60
1083,"Ur, Rose-Marie Margaret",F,38,1946,2004,58,51-60
1084,"Blackburn, Jean-Pierre",M,39,1948,2006,58,51-60
1085,"Casson, Rick",M,39,1948,2006,58,51-60
1086,"Gagnon, Christiane",F,39,1948,2006,58,51-60
1087,"Lee, Derek Vincent",M,39,1948,2006,58,51-60
1088,"Martin, Tony",M,39,1948,2006,58,51-60
1089,"Mayes, Colin",M,39,1948,2006,58,51-60
1090,"McKay, John",M,39,1948,2006,58,51-60
1091,"Minna, Maria",F,39,1948,2006,58,51-60
1092,"Norlock, Rick",M,39,1948,2006,58,51-60
1093,"Owen, Stephen",M,39,1948,2006,58,51-60
1094,"Petit, Daniel",M,39,1948,2006,58,51-60
1095,"Rae, Bob",M,39,1948,2006,58,51-60
1096,"Szabo, Paul John Mark",M,39,1948,2006,58,51-60
1097,"White, Randy A.",M,38,1948,2004,56,51-60
1098,"Asselin, Gérard",M,40,1950,2008,58,51-60
1099,"Bennett, Carolyn",F,40,1950,2008,58,51-60
1100,"Benoit, Leon Earl",M,40,1950,2008,58,51-60
1101,"Cadman, Dona",F,40,1950,2008,58,51-60
1102,"Cardin, Serge",M,40,1950,2008,58,51-60
1103,"Day, Stockwell Burt",M,40,1950,2008,58,51-60
1104,"Demers, Nicole",F,40,1950,2008,58,51-60
1105,"Desnoyers, Luc",M,40,1950,2008,58,51-60
1106,"Layton, Jack",M,40,1950,2008,58,51-60
1107,"McCallum, John",M,40,1950,2008,58,51-60
1108,"Obhrai, Deepak",M,40,1950,2008,58,51-60
1109,"Paillé, Daniel",M,40,1950,2008,58,51-60
1110,"Pearson, Glen",M,40,1950,2008,58,51-60
1111,"Wappel, Thomas (Tom) William",M,39,1950,2006,56,51-60
1112,"Warawa, Mark",M,39,1950,2006,56,51-60
1113,"Allen, Malcolm",M,41,1953,2011,58,51-60
1114,"Bevington, Dennis Fraser",M,41,1953,2011,58,51-60
1115,"Davies, Libby",F,41,1953,2011,58,51-60
1116,"Dreeshen, Earl",M,41,1953,2011,58,51-60
1117,"Jacob, Pierre",M,41,1953,2011,58,51-60
1118,"Kamp, Randy",M,41,1953,2011,58,51-60
1119,"Keddy, Gerald",M,41,1953,2011,58,51-60
1120,"Merrifield, Rob",M,41,1953,2011,58,51-60
1121,"Patry, Claude",M,41,1953,2011,58,51-60
1122,"Perkins, Patricia (Pat)",F,41,1953,2011,58,51-60
1123,"Rafferty, John",M,41,1953,2011,58,51-60
1124,"Yelich, Lynne",F,40,1953,2008,55,51-60
1125,"Anderson, David",M,42,1957,2015,58,51-60
1126,"Anderson, David",M,42,1957,2015,58,51-60
1127,"Arya, Chandra",M,42,1957,2015,58,51-60
1128,"Benson, Sheri",F,42,1957,2015,58,51-60
1129,"Eyolfson, Doug",M,42,1957,2015,58,51-60
1130,"Finley, Diane",F,42,1957,2015,58,51-60
1131,"McLeod, Cathy",F,42,1957,2015,58,51-60
1132,"Sansoucy, Brigitte",F,42,1957,2015,58,51-60
1133,"Scarpaleggia, Francis",M,42,1957,2015,58,51-60
1134,"Stanton, Bruce",M,42,1957,2015,58,51-60
1135,"Sweet, David",M,42,1957,2015,58,51-60
1136,"Tan, Geng",M,42,1957,2015,58,51-60
1137,"Baldinelli, Tony",M,43,1961,2019,58,51-60
1138,"Block, Kelly",F,43,1961,2019,58,51-60
1139,"Cumming, James",M,43,1961,2019,58,51-60
1140,"Kwan, Jenny Wai Ching",F,43,1961,2019,58,51-60
1141,"Martel, Richard",M,43,1961,2019,58,51-60
1142,"Rota, Anthony",M,43,1961,2019,58,51-60
1143,"Vaughan, Adam",M,43,1961,2019,58,51-60
1144,"Foster, Maurice Brydon",M,28,1933,1968,35,31-40
1145,"Stewart, Ronald Alexander",M,33,1927,1984,57,51-60
1146,"Goode, Thomas Henry",M,28,1933,1968,35,31-40
1147,"Guay, Raynald Joseph Albert",M,28,1933,1968,35,31-40
1148,"Jerome, James Alexander",M,28,1933,1968,35,31-40
1149,"Moores, Frank Duff",M,28,1933,1968,35,31-40
1150,"Penner, B. Keith",M,28,1933,1968,35,31-40
1151,"Roberts, John (Moody)",M,28,1933,1968,35,31-40
1152,"Schumacher, Stanley Stanford",M,28,1933,1968,35,31-40
1153,"Blackburn, Derek Nigel Ernest",M,28,1934,1968,34,31-40
1154,"Chrétien, Joseph Jacques Jean",M,28,1934,1968,34,31-40
1155,"Watson, Ian",M,28,1934,1968,34,31-40
1156,"Matte, René",M,28,1935,1968,33,31-40
1157,"Mazankowski, Donald Frank",M,28,1935,1968,33,31-40
1158,"McBride, Murray Arndell",M,28,1935,1968,33,31-40
1159,"Schreyer, Edward Richard",M,28,1935,1968,33,31-40
1160,"Broadbent, John Edward",M,28,1936,1968,32,31-40
1161,"Guilbault, Jacques",M,28,1936,1968,32,31-40
1162,"Kaplan, Robert Phillip",M,28,1936,1968,32,31-40
1163,"MacDonald, David Samuel Horne",M,28,1936,1968,32,31-40
1164,"MacKay, Elmer MacIntosh",M,28,1936,1968,32,31-40
1165,"Roy, Marcel-Claude",M,28,1936,1968,32,31-40
1166,"Reid, John Mercer",M,28,1937,1968,31,31-40
1167,"Yewchuk, Paul",M,28,1937,1968,31,31-40
1168,"Serré, Gaetan-Joseph",M,28,1938,1968,30,18-30
1169,"Stewart, William Douglas",M,28,1938,1968,30,18-30
1170,"Bockstael, Robert Theodore",M,32,1923,1980,57,51-60
1171,"Dantzer, Vincent Martin",M,32,1923,1980,57,51-60
1172,"Desmarais, Louis R.",M,32,1923,1980,57,51-60
1173,"Dupras, Maurice",M,32,1923,1980,57,51-60
1174,"King, Frederick John",M,32,1923,1980,57,51-60
1175,"Kushner, John",M,32,1923,1980,57,51-60
1176,"McCuish, Robert Lorne",M,32,1923,1980,57,51-60
1177,"de Corneille, Roland",M,33,1927,1984,57,51-60
1178,"Fretz, Claude Girvin (Girve)",M,33,1927,1984,57,51-60
1179,"Killens, Marie Thérèse Rollande",F,33,1927,1984,57,51-60
1180,"Nicholson, Aideen",F,33,1927,1984,57,51-60
1181,"Stevens, Sinclair McKnight",M,33,1927,1984,57,51-60
1182,"Crosbie, John Carnell",M,34,1931,1988,57,51-60
1183,"Fraser, John Allen",M,34,1931,1988,57,51-60
1184,"Gray, Herbert Eser (Herb)",M,34,1931,1988,57,51-60
1185,"Guilbault, Jean-Guy",M,34,1931,1988,57,51-60
1186,"Merrithew, Gerald Stairs",M,34,1931,1988,57,51-60
1187,"Nowlan, John Patrick (Pat)",M,34,1931,1988,57,51-60
1188,"Adams, Peter",M,35,1936,1993,57,51-60
1189,"Canuel, René",M,35,1936,1993,57,51-60
1190,"Hoeppner, Jake E.",M,35,1936,1993,57,51-60
1191,"Irwin, Ron",M,35,1936,1993,57,51-60
1192,"McLaughlin, Audrey Marlene",F,35,1936,1993,57,51-60
1193,"Pillitteri, Gary Orazio Vincenzo",M,35,1936,1993,57,51-60
1194,"Reed, Julian Alexander Arnott",M,35,1936,1993,57,51-60
1195,"Thalheimer, Peter",M,35,1936,1993,57,51-60
1196,"Thompson, Myron",M,35,1936,1993,57,51-60
1197,"Assad, Mark Joseph",M,36,1940,1997,57,51-60
1198,"Breitkreuz, Cliff N.",M,36,1940,1997,57,51-60
1199,"Charbonneau, Yvon",M,36,1940,1997,57,51-60
1200,"Cotler, Irwin",M,36,1940,1997,57,51-60
1201,"Folco, Raymonde",F,36,1940,1997,57,51-60
1202,"Hubbard, Charles",M,36,1940,1997,57,51-60
1203,"Lalonde, Francine",F,36,1940,1997,57,51-60
1204,"Lastewka, Walt",M,36,1940,1997,57,51-60
1205,"Laurin, René",M,36,1940,1997,57,51-60
1206,"Massé, Marcel",M,36,1940,1997,57,51-60
1207,"McCormick, Larry",M,36,1940,1997,57,51-60
1208,"O'Reilly, John Francis",M,36,1940,1997,57,51-60
1209,"Perron, Gilles-A.",M,36,1940,1997,57,51-60
1210,"Pickard, Jerry",M,36,1940,1997,57,51-60
1211,"St-Julien, Guy",M,36,1940,1997,57,51-60
1212,"Wood, Bob",M,35,1940,1993,53,51-60
1213,"Young, M. Douglas",M,35,1940,1993,53,51-60
1214,"Bryden, John H.",M,37,1943,2000,57,51-60
1215,"Girard-Bujold, Jocelyne",F,37,1943,2000,57,51-60
1216,"Hanger, Art",M,37,1943,2000,57,51-60
1217,"Hearn, Loyola",M,37,1943,2000,57,51-60
1218,"Marleau, Diane",F,37,1943,2000,57,51-60
1219,"Normand, Gilbert",M,37,1943,2000,57,51-60
1220,"Patry, Bernard",M,37,1943,2000,57,51-60
1221,"Plamondon, Louis",M,37,1943,2000,57,51-60
1222,"Schellenberger, Gary",M,37,1943,2000,57,51-60
1223,"Tonks, Alan",M,37,1943,2000,57,51-60
1224,"Vanclief, Lyle",M,37,1943,2000,57,51-60
1225,"Comartin, Joe",M,38,1947,2004,57,51-60
1226,"Dryden, Ken",M,38,1947,2004,57,51-60
1227,"Duceppe, Gilles",M,38,1947,2004,57,51-60
1228,"Kramp, Daryl",M,38,1947,2004,57,51-60
1229,"Longfield, Judi",F,38,1947,2004,57,51-60
1230,"Mark, Inky",M,38,1947,2004,57,51-60
1231,"Matthews, Bill",M,38,1947,2004,57,51-60
1232,"Picard, Pauline",F,38,1947,2004,57,51-60
1233,"Richardson, Lee",M,38,1947,2004,57,51-60
1234,"Saada, Jacques",M,38,1947,2004,57,51-60
1235,"Smith, Joy",F,38,1947,2004,57,51-60
1236,"Thompson, Gregory Francis",M,38,1947,2004,57,51-60
1237,"Volpe, Giuseppe (Joseph)",M,37,1947,2000,53,51-60
1238,"Ablonczy, Diane",F,39,1949,2006,57,51-60
1239,"Albrecht, Harold",M,39,1949,2006,57,51-60
1240,"Bagnell, Larry",M,39,1949,2006,57,51-60
1241,"Boshcoff, Ken",M,39,1949,2006,57,51-60
1242,"Bourgeois, Diane",F,39,1949,2006,57,51-60
1243,"Easter, Wayne",M,39,1949,2006,57,51-60
1244,"Flaherty, James Michael (Jim)",M,39,1949,2006,57,51-60
1245,"Freeman, Carole",F,39,1949,2006,57,51-60
1246,"Goodale, Ralph",M,39,1949,2006,57,51-60
1247,"Komarnicki, Ed",M,39,1949,2006,57,51-60
1248,"Laforest, Jean-Yves",M,39,1949,2006,57,51-60
1249,"Malhi, Gurbax Singh",M,39,1949,2006,57,51-60
1250,"Roy, Jean-Yves",M,39,1949,2006,57,51-60
1251,"Turner, Garth",M,39,1949,2006,57,51-60
1252,"Bachand, Claude",M,40,1951,2008,57,51-60
1253,"Cannis, John",M,40,1951,2008,57,51-60
1254,"Jennings, Marlene",F,40,1951,2008,57,51-60
1255,"Lemay, Marc",M,40,1951,2008,57,51-60
1256,"Lukiwski, Tom",M,40,1951,2008,57,51-60
1257,"Lunney, James",M,40,1951,2008,57,51-60
1258,"Mathyssen, Irene",F,40,1951,2008,57,51-60
1259,"Murphy, Shawn",M,40,1951,2008,57,51-60
1260,"Ratansi, Yasmin",F,40,1951,2008,57,51-60
1261,"Ritz, Gerry",M,40,1951,2008,57,51-60
1262,"Sopuck, Robert",M,40,1951,2008,57,51-60
1263,"Wasylycia-Leis, Judy",F,39,1951,2006,55,51-60
1264,"Christopherson, David",M,41,1954,2011,57,51-60
1265,"Daniel, Joe",M,41,1954,2011,57,51-60
1266,"Day, Anne-Marie",F,41,1954,2011,57,51-60
1267,"Holder, Ed",M,41,1954,2011,57,51-60
1268,"Lebel, Denis",M,41,1954,2011,57,51-60
1269,"Lizon, Wladyslaw",M,41,1954,2011,57,51-60
1270,"May, Elizabeth",F,41,1954,2011,57,51-60
1271,"McColeman, Phil",M,41,1954,2011,57,51-60
1272,"Mulcair, Thomas J.",M,41,1954,2011,57,51-60
1273,"Murray, Joyce",F,41,1954,2011,57,51-60
1274,"Valeriote, Frank",M,41,1954,2011,57,51-60
1275,"Woodworth, Stephen",M,40,1954,2008,54,51-60
1276,"Di Iorio, Nicola",M,42,1958,2015,57,51-60
1277,"Dubourg, Emmanuel",M,42,1958,2015,57,51-60
1278,"Hughes, Carol",F,42,1958,2015,57,51-60
1279,"Shanahan, Brenda",F,42,1958,2015,57,51-60
1280,"Sorenson, Kevin",M,42,1958,2015,57,51-60
1281,"Weston, John",M,41,1958,2011,53,51-60
1282,"Angus, Charlie",M,43,1962,2019,57,51-60
1283,"Carrie, Colin",M,43,1962,2019,57,51-60
1284,"Ellis, Neil R.",M,43,1962,2019,57,51-60
1285,"Epp, Dave",M,43,1962,2019,57,51-60
1286,"Généreux, Bernard",M,43,1962,2019,57,51-60
1287,"Julian, Peter",M,43,1962,2019,57,51-60
1288,"Lametti, David",M,43,1962,2019,57,51-60
1289,"Lamoureux, Kevin",M,43,1962,2019,57,51-60
1290,"Mazier, Dan",M,43,1962,2019,57,51-60
1291,"McLean, Greg",M,43,1962,2019,57,51-60
1292,"Morantz, Marty",M,43,1962,2019,57,51-60
1293,"Morneau, Bill",M,43,1962,2019,57,51-60
1294,"Brisco, Robert Hylton",M,33,1928,1984,56,51-60
1295,"Sulatycky, Allen B.",M,28,1938,1968,30,18-30
1296,"Lundrigan, John Howard",M,28,1939,1968,29,18-30
1297,"Ouellet, André",M,28,1939,1968,29,18-30
1298,"Rowland, Douglas Charles",M,28,1940,1968,28,18-30
1299,"Comeau, Louis-Roland",M,28,1941,1968,27,18-30
1300,"Fortin, André-Gilles",M,28,1943,1968,25,18-30
1301,"Murta, Jack Burnett",M,28,1943,1968,25,18-30
1302,"Breau, Herb",M,28,1944,1968,24,18-30
1303,"Nystrom, Lorne Edmund",M,28,1946,1968,22,18-30
1304,"Knight, William George",M,28,1947,1968,21,18-30
1305,"Diefenbaker, John George",M,29,1895,1972,77,71+
1306,"Rynard, Philip Bernard",M,29,1897,1972,75,71+
1307,"Michener, Daniel Roland",M,29,1900,1972,72,71+
1308,"Douglas, Thomas Clement (Tommy)",M,29,1904,1972,68,61-70
1309,"MacDonald, Flora Isabel",F,29,1904,1972,68,61-70
1310,"MacInnis, Winona Grace",F,29,1905,1972,67,61-70
1311,"Railton, Samuel Victor",M,29,1906,1972,66,61-70
1312,"Baldwin, Gerald William",M,29,1907,1972,65,61-70
1313,"Brewin, Francis Andrew",M,29,1907,1972,65,61-70
1314,"Dionne, Charles-Eugène",M,29,1908,1972,64,61-70
1315,"Knowles, Stanley Howard",M,29,1908,1972,64,61-70
1316,"Knowles, William David",M,29,1908,1972,64,61-70
1317,"Tétrault, Oza",M,29,1908,1972,64,61-70
1318,"Barnett, Thomas Speakman",M,29,1909,1972,63,61-70
1319,"Duquet, Gérard",M,29,1909,1972,63,61-70
1320,"Hales, Alfred Dryden",M,29,1909,1972,63,61-70
1321,"Lewis, David",M,29,1909,1972,63,61-70
1322,"Mather, Barry",M,29,1909,1972,63,61-70
1323,"Hees, George Harris",M,29,1910,1972,62,61-70
1324,"Darling, Stan",M,29,1911,1972,61,61-70
1325,"Gleave, Alfred Pullen",M,29,1911,1972,61,61-70
1326,"Patterson, Alexander Bell",M,29,1911,1972,61,61-70
1327,"Sharp, Mitchell William",M,29,1911,1972,61,61-70
1328,"Laniel, Gérald",M,32,1924,1980,56,51-60
1329,"McKenzie, A. Daniel",M,32,1924,1980,56,51-60
1330,"McRae, Paul Edmund",M,32,1924,1980,56,51-60
1331,"Neil, Douglas Charles",M,32,1924,1980,56,51-60
1332,"Nielsen, Erik",M,32,1924,1980,56,51-60
1333,"Pepin, Jean-Luc",M,32,1924,1980,56,51-60
1334,"Rose, Mark Willson",M,32,1924,1980,56,51-60
1335,"Coates, Robert Carman",M,33,1928,1984,56,51-60
1336,"Dewar, Marion",F,33,1928,1984,56,51-60
1337,"Fennell, Thomas Scott",M,33,1928,1984,56,51-60
1338,"La Salle, Roch",M,33,1928,1984,56,51-60
1339,"Paproski, Steve Eugene",M,33,1928,1984,56,51-60
1340,"Allmand, William Warren",M,34,1932,1988,56,51-60
1341,"Attewell, Bill",M,34,1932,1988,56,51-60
1342,"Bellemare, Eugène",M,34,1932,1988,56,51-60
1343,"Bird, John Williston (Bud)",M,34,1932,1988,56,51-60
1344,"Brightwell, A.H. Harry",M,34,1932,1988,56,51-60
1345,"Crawford, Rex",M,34,1932,1988,56,51-60
1346,"Horner, Robert Nesbitt",M,34,1932,1988,56,51-60
1347,"Martin, Shirley",F,34,1932,1988,56,51-60
1348,"McCurdy, Howard Douglas",M,34,1932,1988,56,51-60
1349,"Oberle, Frank",M,34,1932,1988,56,51-60
1350,"Vien, Jacques",M,34,1932,1988,56,51-60
1351,"Wilbee, Godfrey Stanley (Stan)",M,34,1932,1988,56,51-60
1352,"Althouse, Victor Fredrich (Vic)",M,35,1937,1993,56,51-60
1353,"Augustine, Jean",F,35,1937,1993,56,51-60
1354,"Mayfield, Philip William",M,35,1937,1993,56,51-60
1355,"McKinnon, Glen",M,35,1937,1993,56,51-60
1356,"Murphy, John",M,35,1937,1993,56,51-60
1357,"Ramsay, F.J. (Jack)",M,35,1937,1993,56,51-60
1358,"Terrana, Anna Marina",F,35,1937,1993,56,51-60
1359,"Tremblay, Suzanne",F,35,1937,1993,56,51-60
1360,"Alarie, Hélène",F,36,1941,1997,56,51-60
1361,"Brown, Bonnie",F,36,1941,1997,56,51-60
1362,"Fry, Hedy",F,36,1941,1997,56,51-60
1363,"Harvey, André",M,36,1941,1997,56,51-60
1364,"Johnston, F. Dale",M,36,1941,1997,56,51-60
1365,"Kilgour, David",M,36,1941,1997,56,51-60
1366,"Mills, Robert (Bob)",M,36,1941,1997,56,51-60
1367,"Peterson, James Scott (Jim)",M,36,1941,1997,56,51-60
1368,"Proctor, Dick",M,36,1941,1997,56,51-60
1369,"Stewart, Christine Susan",F,36,1941,1997,56,51-60
1370,"Beaumier, Colleen",F,37,1944,2000,56,51-60
1371,"Caplan, Elinor",F,37,1944,2000,56,51-60
1372,"Carroll, M. Aileen",F,37,1944,2000,56,51-60
1373,"Castonguay, Jeannot",M,37,1944,2000,56,51-60
1374,"Cullen, Roy",M,37,1944,2000,56,51-60
1375,"Efford, Ruben John",M,37,1944,2000,56,51-60
1376,"Goldring, Peter",M,37,1944,2000,56,51-60
1377,"Kilger, Robert (Bob)",M,37,1944,2000,56,51-60
1378,"Macklin, Paul Harold",M,37,1944,2000,56,51-60
1379,"Marcil, Serge",M,37,1944,2000,56,51-60
1380,"McDonough, Alexa",F,37,1944,2000,56,51-60
1381,"McGuire, Joseph Blair (Joe)",M,37,1944,2000,56,51-60
1382,"Rocheleau, Yves",M,37,1944,2000,56,51-60
1383,"Sgro, Judy",F,37,1944,2000,56,51-60
1384,"Alcock, Reginald B.",M,38,1948,2004,56,51-60
1385,"Cadman, Chuck",M,38,1948,2004,56,51-60
1386,"Casson, Rick",M,38,1948,2004,56,51-60
1387,"Duncan, John",M,38,1948,2004,56,51-60
1388,"Gagnon, Christiane",F,38,1948,2004,56,51-60
1389,"Gallaway, Roger John",M,38,1948,2004,56,51-60
1390,"Lee, Derek Vincent",M,38,1948,2004,56,51-60
1391,"Martin, Tony",M,38,1948,2004,56,51-60
1392,"McKay, John",M,38,1948,2004,56,51-60
1393,"Minna, Maria",F,38,1948,2004,56,51-60
1394,"O'Brien, Pat",M,38,1948,2004,56,51-60
1395,"Owen, Stephen",M,38,1948,2004,56,51-60
1396,"Szabo, Paul John Mark",M,38,1948,2004,56,51-60
1397,"White, Randy A.",M,37,1948,2000,52,51-60
1398,"Asselin, Gérard",M,39,1950,2006,56,51-60
1399,"Bennett, Carolyn",F,39,1950,2006,56,51-60
1400,"Benoit, Leon Earl",M,39,1950,2006,56,51-60
1401,"Cardin, Serge",M,39,1950,2006,56,51-60
1402,"Day, Stockwell Burt",M,39,1950,2006,56,51-60
1403,"Demers, Nicole",F,39,1950,2006,56,51-60
1404,"Fontana, Joseph Frank (Joe)",M,39,1950,2006,56,51-60
1405,"Gauthier, Michel",M,39,1950,2006,56,51-60
1406,"Hinton, Betty",F,39,1950,2006,56,51-60
1407,"Layton, Jack",M,39,1950,2006,56,51-60
1408,"McCallum, John",M,39,1950,2006,56,51-60
1409,"Obhrai, Deepak",M,39,1950,2006,56,51-60
1410,"Pearson, Glen",M,39,1950,2006,56,51-60
1411,"St. Denis, Brent",M,39,1950,2006,56,51-60
1412,"Wappel, Thomas (Tom) William",M,38,1950,2004,54,51-60
1413,"Warawa, Mark",M,38,1950,2004,54,51-60
1414,"Ashfield, Keith",M,40,1952,2008,56,51-60
1415,"Bonsant, France",F,40,1952,2008,56,51-60
1416,"Crowder, Jean",F,40,1952,2008,56,51-60
1417,"Foote, Judy",F,40,1952,2008,56,51-60
1418,"Hill, Jay D.",M,40,1952,2008,56,51-60
1419,"Maloway, Peter James (Jim)",M,40,1952,2008,56,51-60
1420,"Menzies, Ted",M,40,1952,2008,56,51-60
1421,"Nicholson, Rob",M,40,1952,2008,56,51-60
1422,"Toews, Vic",M,40,1952,2008,56,51-60
1423,"Wilfert, Bryon",M,39,1952,2006,54,51-60
1424,"Bélanger, Mauril",M,41,1955,2011,56,51-60
1425,"Boutin-Sweet, Marjolaine",F,41,1955,2011,56,51-60
1426,"Brown, Lois",F,41,1955,2011,56,51-60
1427,"Crockatt, Joan",F,41,1955,2011,56,51-60
1428,"Cuzner, Rodger",M,41,1955,2011,56,51-60
1429,"Dion, Stéphane",M,41,1955,2011,56,51-60
1430,"Dionne Labelle, Pierre",M,41,1955,2011,56,51-60
1431,"Fast, Edward",M,41,1955,2011,56,51-60
1432,"Findlay, Kerry-Lynne D.",F,41,1955,2011,56,51-60
1433,"Godin, Yvon",M,41,1955,2011,56,51-60
1434,"Karygiannis, Jim",M,41,1955,2011,56,51-60
1435,"Laverdière, Hélène",F,41,1955,2011,56,51-60
1436,"Martin, Pat",M,41,1955,2011,56,51-60
1437,"Preston, Joe",M,41,1955,2011,56,51-60
1438,"Toone, Philip",M,41,1955,2011,56,51-60
1439,"Tweed, Mervin C.",M,41,1955,2011,56,51-60
1440,"Van Kesteren, Dave",M,41,1955,2011,56,51-60
1441,"Beaulieu, Mario",M,42,1959,2015,56,51-60
1442,"Beaulieu, Mario",M,42,1959,2015,56,51-60
1443,"Benzen, Bob",M,42,1959,2015,56,51-60
1444,"Harper, Stephen",M,42,1959,2015,56,51-60
1445,"Hutchings, Gudie",F,42,1959,2015,56,51-60
1446,"Lebouthillier, Diane",F,42,1959,2015,56,51-60
1447,"McDonald, Ken",M,42,1959,2015,56,51-60
1448,"McLeod, Michael",M,42,1959,2015,56,51-60
1449,"Regan, Geoff",M,42,1959,2015,56,51-60
1450,"Samson, Darrell",M,42,1959,2015,56,51-60
1451,"Wilks, David",M,41,1959,2011,52,51-60
1452,"Casey, Sean",M,43,1963,2019,56,51-60
1453,"Davies, Don",M,43,1963,2019,56,51-60
1454,"DeBellefeuille, Claude",F,43,1963,2019,56,51-60
1455,"Desbiens, Caroline",F,43,1963,2019,56,51-60
1456,"Dowdall, Terry",M,43,1963,2019,56,51-60
1457,"Jordan, Bernadette",F,43,1963,2019,56,51-60
1458,"Lattanzio, Patricia",F,43,1963,2019,56,51-60
1459,"Long, Wayne",M,43,1963,2019,56,51-60
1460,"Mendès, Alexandra",F,43,1963,2019,56,51-60
1461,"Redekopp, Brad",M,43,1963,2019,56,51-60
1462,"Trudel, Denis",M,43,1963,2019,56,51-60
1463,"Vidal, Gary",M,43,1963,2019,56,51-60
1464,"Walker, James Edgar",M,29,1911,1972,61,61-70
1465,"Alkenbrack, Almonte Douglas",M,29,1912,1972,60,51-60
1466,"Blouin, Gustave",M,29,1912,1972,60,51-60
1467,"Drury, Charles Mills (Bud)",M,29,1912,1972,60,51-60
1468,"Hamilton, Francis Alvin George",M,29,1912,1972,60,51-60
1469,"Smith, Walter Bernard",M,29,1912,1972,60,51-60
1470,"Thomas, J. Antonio",M,29,1912,1972,60,51-60
1471,"Clermont, Gaston",M,29,1913,1972,59,51-60
1472,"Gauthier, Charles-Arthur",M,29,1913,1972,59,51-60
1473,"Hymmen, Kieth Reinhardt",M,29,1913,1972,59,51-60
1474,"Lambert, Joseph Adrien Henri",M,29,1913,1972,59,51-60
1475,"Latulippe, Henry P.",M,29,1913,1972,59,51-60
1476,"Harding, Randolph",M,29,1914,1972,58,51-60
1477,"L'Heureux, Yvon",M,29,1914,1972,58,51-60
1478,"MacLean, John Angus",M,29,1914,1972,58,51-60
1479,"Stanfield, Robert Lorne",M,29,1914,1972,58,51-60
1480,"Allard, Eudore",M,29,1915,1972,57,51-60
1481,"Madill, John Ellwood",M,29,1915,1972,57,51-60
1482,"Danforth, Harold Warren",M,29,1916,1972,56,51-60
1483,"Davis, John (Jack)",M,29,1916,1972,56,51-60
1484,"Dinsdale, Walter Gilbert",M,29,1916,1972,56,51-60
1485,"Munro, Donald W.",M,29,1916,1972,56,51-60
1486,"Thomas, Charles Humbert",M,29,1916,1972,56,51-60
1487,"Woolliams, Eldon Mattison",M,29,1916,1972,56,51-60
1488,"Caouette, David Réal",M,29,1917,1972,55,51-60
1489,"Hargrave, Herbert Thomas (Bert)",M,29,1917,1972,55,51-60
1490,"McCain, Fred Alward",M,29,1917,1972,55,51-60
1491,"McKinnon, Allan Bruce",M,29,1917,1972,55,51-60
1492,"Nelson, Nels Edwin",M,29,1917,1972,55,51-60
1493,"Boulanger, Prosper",M,29,1918,1972,54,51-60
1494,"Crouse, Lloyd Roseville",M,29,1918,1972,54,51-60
1495,"Benjamin, Leslie Gordon",M,32,1925,1980,55,51-60
1496,"Heap, Daniel James Macdonnell",M,32,1925,1980,55,51-60
1497,"Hovdebo, Stanley J.",M,32,1925,1980,55,51-60
1498,"Lawrence, Allan Frederick",M,32,1925,1980,55,51-60
1499,"MacBain, Arthur Allister",M,32,1925,1980,55,51-60
1500,"Mitchell, Margaret Anne",F,32,1925,1980,55,51-60
1501,"Rossi, Carlo",M,32,1925,1980,55,51-60
1502,"Ellis, John Raymond",M,33,1929,1984,55,51-60
1503,"Friesen, Benno",M,33,1929,1984,55,51-60
1504,"Howie, J. Robert",M,33,1929,1984,55,51-60
1505,"Shields, Jack Wendele",M,33,1929,1984,55,51-60
